current_speed,speed_limit,weather_code,visibility_km,road_type,hour_of_day,violation,recommended_speed
63.1,80,1,8.5,2,12,0,80
99.1,100,5,3.4,1,5,1,75
74.7,100,2,4.7,1,0,0,90
33.6,60,1,8.3,3,5,0,60
53.3,80,0,10.0,2,12,0,80
23.5,30,0,10.5,4,12,0,30
114.6,120,0,10.9,0,12,0,120
94.4,60,4,1.2,3,19,1,45
42.3,60,2,5.4,3,3,0,50
54.9,60,2,4.5,3,4,1,50
8.0,30,0,9.8,4,12,0,30
69.4,60,5,3.1,3,8,1,35
16.8,30,4,1.3,4,16,1,20
72.4,100,0,9.6,1,2,0,100
57.1,80,0,9.7,2,19,0,80
113.8,120,0,10.8,0,17,0,120
169.1,120,0,10.5,0,14,1,120
79.4,100,1,8.9,1,22,0,100
164.9,120,1,8.2,0,0,1,120
117.4,100,0,9.5,1,8,1,100
137.0,100,2,4.7,1,5,1,90
104.0,120,0,9.6,0,17,0,120
74.3,30,0,9.7,4,0,1,30
113.9,120,1,8.3,0,21,0,120
30.8,60,1,8.1,3,6,0,60
113.3,100,3,2.8,1,9,1,80
28.2,30,0,9.3,4,5,0,30
68.4,30,1,7.0,4,6,1,30
39.5,60,1,7.4,3,5,0,60
39.4,60,0,9.2,3,7,0,60
139.0,120,2,5.6,0,1,1,110
5.8,30,0,9.2,4,8,0,30
16.3,30,0,10.4,4,8,0,30
77.2,30,5,3.8,4,6,1,20
72.2,60,5,3.1,3,8,1,35
83.5,100,3,3.6,1,16,1,80
5.0,30,0,10.2,4,2,0,30
90.1,100,0,9.5,1,15,0,100
39.6,60,2,5.8,3,15,0,50
167.4,120,1,7.1,0,1,1,120
49.3,30,0,9.4,4,10,1,30
99.3,120,1,8.5,0,15,0,120
145.0,100,0,10.4,1,14,1,100
51.7,60,4,1.6,3,0,1,45
43.9,60,0,9.1,3,20,0,60
66.3,60,2,5.7,3,16,1,50
97.5,100,0,9.6,1,2,0,100
117.3,120,1,7.4,0,21,0,120
47.0,60,1,8.0,3,21,0,60
28.8,30,0,10.8,4,18,0,30
74.0,60,5,3.1,3,19,1,35
72.1,80,3,3.5,2,6,1,60
35.8,30,5,4.1,4,21,1,20
50.9,80,4,1.9,2,10,0,65
67.6,80,1,8.5,2,17,0,80
106.4,80,4,2.9,2,13,1,65
67.4,80,0,9.5,2,15,0,80
45.1,60,0,9.3,3,5,0,60
86.7,80,0,10.8,2,1,1,80
114.0,100,0,10.3,1,22,1,100
112.6,100,1,7.9,1,10,1,100
133.4,120,0,10.1,0,10,1,120
78.2,60,3,3.5,3,9,1,40
77.7,100,1,8.5,1,3,0,100
92.4,120,0,10.8,0,16,0,120
46.2,60,1,7.9,3,9,0,60
108.7,60,0,9.6,3,8,1,60
34.6,60,3,3.3,3,12,0,40
103.0,80,0,9.8,2,10,1,80
77.3,30,5,4.2,4,9,1,20
61.8,30,3,2.8,4,23,1,20
101.1,60,0,9.3,3,4,1,60
101.4,60,0,9.9,3,2,1,60
82.7,100,3,3.4,1,3,1,80
74.7,30,2,5.6,4,2,1,20
89.4,100,2,5.0,1,9,0,90
96.1,100,3,2.3,1,23,1,80
109.0,80,0,9.8,2,12,1,80
103.3,120,1,8.6,0,4,0,120
7.7,30,0,9.8,4,12,0,30
48.4,60,4,2.4,3,23,1,45
33.2,60,2,5.0,3,0,0,50
46.6,60,0,9.5,3,10,0,60
53.7,80,0,10.6,2,2,0,80
117.0,120,0,9.2,0,16,0,120
53.6,60,0,10.0,3,18,0,60
86.1,60,2,4.4,3,12,1,50
108.2,80,2,4.1,2,15,1,70
33.8,60,4,2.0,3,17,0,45
119.0,100,1,8.0,1,22,1,100
93.3,100,0,10.4,1,19,0,100
144.8,100,2,5.5,1,22,1,90
105.0,80,3,3.5,2,18,1,60
68.5,60,1,7.8,3,5,1,60
100.3,60,3,3.3,3,22,1,40
57.8,80,1,8.2,2,6,0,80
36.8,60,1,7.8,3,14,0,60
100.1,60,1,8.2,3,4,1,60
77.5,100,0,10.9,1,15,0,100
142.5,100,0,9.4,1,5,1,100
29.8,30,0,10.8,4,2,0,30
50.7,60,2,4.1,3,11,1,50
55.1,30,0,9.6,4,3,1,30
114.2,100,1,7.6,1,21,1,100
73.1,60,4,2.3,3,2,1,45
110.2,100,0,9.3,1,15,1,100
146.0,100,1,8.8,1,15,1,100
55.2,80,3,3.7,2,22,0,60
137.7,100,0,10.3,1,18,1,100
98.5,100,0,9.9,1,14,0,100
70.1,100,0,10.9,1,8,0,100
113.1,120,0,10.7,0,19,0,120
56.7,60,4,2.0,3,1,1,45
